,adult,belongs_to_collection,budget,genres,homepage,id,imdbId,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
12346,False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]",,111747,tt0011358,en,Just Pals,"This engaging adventure/character study is one of John Ford's best! Bim (Buck Jones) seems to be his town's biggest loser, but when he takes a needy 13-year-old boy named Bill (George Stone) under his wing, it seems there may be some hope for Bim. After learning about Bill, a young teacher, Mary (Helen Ferguson), whom Bim secretly adores, helps get the young boy into school. And when Bim then helps Mary repay a loan, defaulted on by shifty boyfriend (William Buckley), it becomes evident that Bim can reform. As the plot in this captivating film twist and turns, the stakes get higher, the action gets more intense and hope for Bim bounds upward.",0.126531,/kDVrArPFkJqM2aR35HxGdddsGA1.jpg,"[{'name': 'Fox Film Corporation', 'id': 5488}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1920-10-21,0.0,50.0,[],Released,,Just Pals,False,6.8,3.0
12347,False,,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 37, 'name': 'Western'}]",,32716,tt0017463,en,3 Bad Men,Three outlaws come to the aid of a young girl after her father is killed. A silent film directed by John Ford.,0.970037,/3ciHLo1sgiRUasCBSYwlePOQRKZ.jpg,"[{'name': 'Fox Film Corporation', 'id': 5488}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1926-08-28,0.0,92.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,3 Bad Men,False,7.3,8.0
12385,False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}]",,43691,tt0025004,en,The Count of Monte Cristo,"After greedy men have Edmound Dantes unjustly imprisoned for 20 years for innocently delivering a letter entrusted to him, he escapes to revenge himself on them.",0.573468,/2ycmkXa7qnBD2ZWC5i4TnzkiR00.jpg,"[{'name': 'Edward Small Productions', 'id': 13479}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1934-09-06,0.0,113.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Romance Lives On ... In The Glory Of Dumas' Immortal Novel !,The Count of Monte Cristo,False,5.6,14.0
12410,False,,0,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}]",,95169,tt0018909,en,Four Sons,"A family saga in which three of a Bavarian widow's sons go to war for Germany and the fourth goes to America, Germany's eventual opponent.",0.320026,/hUl7sqeviPzTjSpLLpXzFxCERGo.jpg,"[{'name': 'Fox Film Corporation', 'id': 5488}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1928-02-13,0.0,100.0,[],Released,BIG AS THE HEART OF HUMANITY!,Four Sons,False,6.8,4.0
12412,False,,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,113788,tt0018972,en,Hangman's House,"Forced by her mean-spirited father, Lord Chief Justice James O'Brien (Hobart Bosworth), to marry a man she doesn't love, Connaught O'Brien (June Collyer) gives up hope of ever with her true love, Dermot McDermot (Larry Kent). After her father dies and a hunted rebel leader (Victor McLaglen) returns to town, however, Connaught finds a renewed hope that the tides of oppression will shift and she might again find happiness.  This silent romantic drama, set in Ireland, is the first film in which a then-unknown John Wayne is clearly visible.",0.179627,/yacqLcogzJPnCx1mEidgo4tkDw8.jpg,"[{'name': 'Fox Film Corporation', 'id': 5488}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1928-05-13,0.0,80.0,"[{'iso_639_1': 'xx', 'name': 'No Language'}]",Released,,Hangman's House,False,6.3,4.0
12419,False,,0,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",,94009,tt0020702,en,Born Reckless,"In order to use the publicity to get re-elected, a judge sentences a notorious gangster to fight in the war.",0.365704,/p6UAZImdytbk1QIJrsC3RqItRFv.jpg,"[{'name': 'Fox Film Corporation', 'id': 5488}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1930-06-06,0.0,82.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The master mind of gangdom gets a change of heart!,Born Reckless,False,5.0,2.0
12421,False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",,72602,tt0021508,en,Up the River,"Two prisoners, Saint Louis and Dannemora Dan, escape during a theatrical production in order to go to the aid of Steve, a former prisoner whose past is about to be exposed by the man who framed Judy unless Steve agrees to help him commit another crime.",0.505703,/buVZFMyW9EQRELwwXP20nXZRYoq.jpg,"[{'name': 'Fox Film Corporation', 'id': 5488}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1930-10-12,0.0,85.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,You bet ~ IT'S FUNNY a movietone laugh riot,Up the River,False,5.7,6.0
12428,False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",,117001,tt0022353,en,Seas Beneath,"In the waning days of WWI, a U.S. ""Mystery Ship,"" sets sail for the coast of Spain towing a submarine. Their mission is to find and sink a U-boat that has been especially effective in attacking Allied shipping. Posing as a harmless schooner, the mystery ship is in fact fitted with a formidable gun capable of sinking a U-boat. Stopping in the Canary Islands to refuel, the crew interacts with locals involved with Germans, and with Germans themselves, including the sister of the U-Boat commander, who is lurking offshore waiting for the coming battle.",0.081761,/o7HY4UbsUZojrtbILHqaDoRkpyL.jpg,"[{'name': 'Fox Film Corporation', 'id': 5488}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1931-01-30,0.0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Seas Beneath,False,7.0,1.0
12482,False,,0,"[{'id': 35, 'name': 'Comedy'}]",,72608,tt0023955,en,Doctor Bull,"In this engaging adaptation of James Gould Cozzen's novel The Last Adam, film icon Will Rogers portrays Dr. George Bull, a compassionate, highly regarded small-town physician who often prescribes a healthy dose of common sense! But when Bull begins dating a widow (Vera Allen), the local gossips misconstrue the story. To make matters worse, Bull's plainspoken manner earns him an enemy in the wealthy owner of a nearby construction camp. But once it's learned that the camp has caused illness by polluting the local water supply, the good doctor steps in to try to restore the town's health - and his reputation!",0.418583,/bWhjZNtgA3QVBWvaeFC1VH18mcr.jpg,"[{'name': 'Fox Film Corporation', 'id': 5488}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1933-09-22,0.0,79.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,As Great - As Human - As 'State Fair',Doctor Bull,False,5.0,2.0
12493,False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",,42536,tt0018192,fr,Napoléon,"A massive 5 1/2 hour biopic of Napoleon, tracing his career from his schooldays (where a snowball fight is staged like a military campaign), his flight from Corsica, through the French Revolution (where a real storm is intercut with a political storm) and the Terror, culminating in his triumphant invasion of Italy in 1797 (the film stops there because it was intended to be part one of six, but director Abel Gance never raised the money to make the other five). The film's legendary reputation is due to the astonishing range of techniques that Gance uses to tell his story, culminating in the final twenty-minute triptych sequence, which alternates widescreen panoramas with complex multiple- image montages projected simultaneously on three screens.",1.742727,/5b1RQrA5qSfqCgVsErRKz9C9chU.jpg,"[{'name': 'Pathé Consortium Cinéma', 'id': 220}, {'name': 'Société générale des films', 'id': 1237}, {'name': 'Films Abel Gance', 'id': 9005}, {'name': 'Isepa-Wengeroff Film GmbH', 'id': 9006}, {'name': 'Ciné France', 'id': 27693}, {'name': 'Société Westi', 'id': 82280}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",1927-11-14,0.0,332.0,[],Released,,Napoleon,False,7.9,28.0
12501,False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",,31409,tt0022074,en,The Smiling Lieutenant,A misfired flirtation lands a young lieutenant married to a princess instead of the one he loves.,1.209386,/2BxlISQYSUbyHnbQPZ7DDO5y6f9.jpg,"[{'name': 'Paramount Pictures', 'id': 4}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1931-08-01,0.0,93.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,,The Smiling Lieutenant,False,6.6,14.0
12570,False,,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 80, 'name': 'Crime'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",,28435,tt0023249,en,Murders in the Rue Morgue,"In 19th Century Paris, the maniacal Dr. Mirakle abducts young women and injects them with ape blood in an attempt to prove ape-human kinship. He constantly meets failure as the abducted women die. Medical student Pierre Dupin discovers what Mirakle is doing too late to prevent the abduction of his girlfriend Camille. Now he desperately tries to enlist the help of the police to get her back.",2.522351,/kq2UdcGxOkJGbJ90bLzkmyi6Kv2.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1932-02-21,0.0,61.0,"[{'iso_639_1': 'da', 'name': 'Dansk'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,The super shocker !,Murders in the Rue Morgue,False,6.0,20.0
12635,False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",,43145,tt0023303,en,One Hour with You,"Andre and Colette Bertier are happily married. When Colette introduces her husband to her flirtatious best friend, Mitzi, he does his best to resist her advances. But she is persistent, and very cute, and he succumbs. Mitzi's husband wants to divorce her, and has been having her tailed. Andre gets caught, and must confess to his wife. But Colette has had problems resisting the attentions of another man herself, and they forgive each other.",1.406699,/gbLuCxCBRwoWPzc02lVhbirHU25.jpg,"[{'name': 'Paramount Pictures', 'id': 4}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1932-03-22,0.0,80.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Chevalier! Captivating all the world with laughter and love!,One Hour with You,False,5.4,8.0
12663,False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",,79761,tt0020030,en,The Iron Mask,"King Louis XIII of France is thrilled to have born to him a son - an heir to the throne. But when the queen delivers a twin, Cardinal Richelieu sees the second son as a potential for revolution, and has him sent off to Spain to be raised in secret to ensure a peaceful future for France. Alas, keeping the secret means sending Constance, lover of D'Artagnan, off to a convent. D'Artagnan hears of this and rallies the Musketeers in a bid to rescue her. Unfortunately, Richelieu out-smarts the Musketeers and banishes them forever.",0.351862,/rKvamGFiKbuGOBWbzULOkyXrmAe.jpg,"[{'name': 'Elton Productions', 'id': 4203}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1929-02-21,0.0,103.0,"[{'iso_639_1': 'xx', 'name': 'No Language'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,"The Further Adventures of ""The Three Musketeers""!",The Iron Mask,False,7.3,4.0
12669,False,,0,"[{'id': 18, 'name': 'Drama'}]",,114348,tt0024453,en,Pilgrimage,"The story of an Arkansas farm woman and her son. When the son expresses his desire to marry a girl who comes from a family that the mother thinks is trash, she enrolls him in the army.",0.178164,/3ZNFcL83LM1MWXExeO8arTgbzu8.jpg,"[{'name': 'Fox Film Corporation', 'id': 5488}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1933-07-12,0.0,96.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Pilgrimage,False,5.0,1.0
12685,False,,0,"[{'id': 37, 'name': 'Western'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 10749, 'name': 'Romance'}]",,42657,tt0011439,en,The Mark of Zorro,The adventures of the masked hero continues.,0.336801,/3HPZeNUdKuLxPBNnD7SOb0URsc5.jpg,"[{'name': 'Douglas Fairbanks Pictures', 'id': 13399}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1920-12-05,0.0,107.0,[],Released,,The Mark of Zorro,False,6.3,6.0
12687,False,,1500000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 10749, 'name': 'Romance'}]",,82731,tt0012752,en,The Three Musketeers,"The young Gascon D'Artagnan arrives in Paris, his heart set on joining the king's Musketeers. He is taken under the wings of three of the most respected and feared Musketeers, Porthos, Aramis, and Athos. Together they fight to save France and the honor of a lady from the machinations of the powerful Cardinal Richelieu.",0.310953,/fCEh9Y37bxMGSGyIUyc4eF2Lvxo.jpg,"[{'name': 'Douglas Fairbanks Pictures', 'id': 13399}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1921-08-28,0.0,119.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Three Musketeers,False,5.7,5.0
12719,False,,89000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]",,27509,tt0011565,en,The Penalty,"Blizzard, deranged from a childhood operation in which both his legs were perhaps needlessly amputated after an accident, becomes a vicious criminal, and eventually mob leader of the San Francisco underworld. Out for revenge against the surgeon who performed his operation, he undergoes brain surgery which has a chance of altering his anti-social behavior.",0.971225,/ct5XMbwZWv3SzZ01lYM4rQihRmA.jpg,"[{'name': 'Goldwyn Pictures Corporation', 'id': 31789}, {'name': 'Eminent Authors Pictures Inc', 'id': 33014}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1920-08-15,0.0,90.0,[],Released,,The Penalty,False,6.6,11.0
12730,False,,259000,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",,27506,tt0019563,en,West of Zanzibar,Silent film (with musical score) about the vengefulness of a cuckolded magician (Lon Chaney) paralyzed in a brawl with his rival (Lionel Barrymore).,0.722511,/6RYjo21tlc2DHY4GJvHci0eQpSZ.jpg,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1928-11-24,921000.0,65.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,West of Zanzibar,False,6.2,5.0
12731,False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",,111305,tt0018471,en,Tell It to the Marines,"U.S. Marine Sergeant O'Hara has his hands full training raw recruits, one of whom, 'Skeets' Burns, is a particular thorn in his side. If Burns's lackadaisical approach to the military were not bad enough, he also makes advances on nurse Nora Dale, whom Sergeant O'Hara secretly loves. Nora is oblivious to O'Hara's feelings and is attracted to the handsome 'Skeet.' But an indiscretion turns her against him, and it takes an expedition to China and a battle with a warlord's bandit brigade to sort things out among the nurse and her two Marines.",0.482676,/wX8Q8otMiIHGRDETwFLMqZaGVCL.jpg,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1926-12-23,0.0,103.0,[],Released,,Tell It to the Marines,False,5.6,5.0
12732,False,,103000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,27505,tt0016473,en,The Unholy Three,"Three sideshow performers leave their lives of captivity and form a conspiracy known as ""The Unholy Three"" - a sideshow ventriloquist, midget, and strongman work together to commit a series of robberies.",1.345287,/o64L7jsImE3qh44gdyZGM2TS4VP.jpg,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1925-09-16,704000.0,86.0,[],Released,,The Unholy Three,False,5.8,11.0
12733,False,,0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",,27504,tt0021505,en,The Unholy Three,"""Talkie"" remake of Tod Browning's 1925 silent film. A trio of former sideshow performers double as the ""Unholy Three"" in a scam to nab some shiny rocks.",0.277459,/wrkly8OkycijnAY10w12wHdP9VN.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1930-07-03,0.0,72.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Unholy Three,False,2.5,2.0
12734,False,,152000,"[{'id': 27, 'name': 'Horror'}, {'id': 18, 'name': 'Drama'}]",,64852,tt0018097,en,London After Midnight,"When Roger Balfour is found shot dead in his London home, his death is declared a suicide by Inspector Burke of Scotland Yard, even though the executor of Balfour's estate, Sir James Hamlin, insists his friend never would have taken his own life. Five years later, the abandoned Balfour house comes to life again with the arrival of two sinister-looking tenants: a fiendish-looking man with pointed teeth, bulging eyes and a tall beaver hat, and a pale young woman in a long gown. The presence of the strangers prompts Sir James, who lives next door, to call in Inspector Burke again. Also living in the Hamlin household are the other people who were also present in Balfour's house the night he died: Sir James' nephew, Arthur Hibbs; the late Balfour's now-grown daughter, Lucille; and Williams, the butler. Burke expresses skepticism about Sir James' suspicions that the new neighbors might have been involved in Balfour's death...",0.377017,/3NrPAE5horNhudJnj7xUSMi2jlg.jpg,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1927-12-17,0.0,69.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Lon Chaney in a great Scotland Yard Mystery,London After Midnight,False,5.8,8.0
12758,False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]",,94525,tt0017048,ja,Kurutta ippêji,A man takes a job at an asylum with hopes of freeing his imprisoned wife.,1.174776,/cvwzdaTOG0LwZJuOcLzquS9ET0Y.jpg,"[{'name': 'Shin Kankaku-ha Eiga Renmei Productions', 'id': 94935}, {'name': 'Kinugasa Productions', 'id': 94936}, {'name': 'National Film Art', 'id': 94937}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",1926-09-24,0.0,70.0,"[{'iso_639_1': 'ja', 'name': '日本語'}]",Released,,A Page of Madness,False,7.8,18.0
12845,False,,0,"[{'id': 18, 'name': 'Drama'}]",,85685,tt0019935,en,The Godless Girl,"High school students led by the Girl and Boy turn from Christianity toward secret atheistic meetings. When a girl is accidentally killed by a stairway collapse, the Girl and Boy go to reform school where they are treated brutally.",0.636876,/vzQ05hKHt5blrMDESCjIAhpTu5m.jpg,"[{'name': 'C.B. DeMille Productions', 'id': 31421}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1929-03-31,0.0,113.0,[],Released,,The Godless Girl,False,7.5,2.0
13003,False,,200000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",,30266,tt0006333,en,"20,000 Leagues Under the Sea","Captain Nemo has built a fantastic submarine for his mission of revenge. He has traveled over 20,000 leagues in search of Charles Denver - a man who caused the death of Princess Daaker. Seeing what he had done, Denver took the daughter to his yacht and sailed away.",0.917777,/RHnJt7A73W5oRgIKXRfFlSCHG.jpg,"[{'name': 'The Universal Film Mfg. Co.', 'id': 5679}]","[{'iso_3166_1': 'BS', 'name': 'Bahamas'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1916-12-24,8000000.0,105.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The First Submarine Photoplay Ever Filmed,"20,000 Leagues Under the Sea",False,6.0,7.0
13055,False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",,53772,tt0011909,en,The Affairs of Anatol,"Socialite Anatol Spencer, finding his relationship with his wife lackluster, goes in search of excitement. After bumping into old flame Emilie, he lets an apartment for her only to find that she cheats on him. He is subsequently robbed, conned, and booted from pillar to post. He decides to return to his wife and discovers her carousing with his best friend Max.",0.083294,/cwlngZhxphRZux299flVfXD0zMU.jpg,[],[],1921-09-25,0.0,117.0,[],Released,,The Affairs of Anatol,False,6.0,1.0
13065,False,,0,"[{'id': 37, 'name': 'Western'}]",,120828,tt0016939,en,The Great K&A Train Robbery,"Cullen has hired Tom to try and stop the robberies on his railroad. Knowing Cullen's secretary Holt is tipping off the gang, Tom works undercover by posing as a highwayman. To help him bring in the gang he enlists the help of the hobo DeLuxe Harry.",0.171735,/7k7iccVWhMi8l3SFk8aGQpgGgqV.jpg,"[{'name': 'Lew Seiler Productions', 'id': 42322}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1926-10-17,0.0,53.0,[],Released,The Foremost Western Thriller of the Greatest Western Star,The Great K&A Train Robbery,False,5.0,2.0
13081,False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 37, 'name': 'Western'}]",,96395,tt0017567,en,The Winning of Barbara Worth,"While building an irrigation system for a Southwestern desert community, an engineer vies with a local cowboy for the affections of a rancher's daughter.",0.709828,/irFkxgOgJSg42KHF9hggw5zwf4H.jpg,"[{'name': 'United Artists', 'id': 60}, {'name': 'Samuel Goldwyn Company, The', 'id': 28205}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1926-10-14,0.0,89.0,[],Released,,The Winning of Barbara Worth,False,7.0,3.0
13110,False,,0,"[{'id': 28, 'name': 'Action'}]",,125749,tt0017918,en,The Gaucho,"A girl is saved by a miracle after she falls from a cliff in the Argentine Andes, and is blessed with healing powers. A shrine is built on the site, and a whole city grows around it, rich with gold from the grateful worshipers. Ruiz, an evil and sadistic general, captures the city, confiscates the gold, and closes the shrine. But the Gaucho, the charismatic leader of a band of outlaws, comes to the rescue.",0.602791,/xwRWCRnRei1gK3eIJq39Xgrzw8h.jpg,"[{'name': 'Elton Corporation', 'id': 35431}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1927-11-21,0.0,95.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,INTENSELY DRAMATIC STUPENDOUS THRILLS,The Gaucho,False,5.0,1.0
13111,False,,0,"[{'id': 37, 'name': 'Western'}, {'id': 12, 'name': 'Adventure'}, {'id': 10749, 'name': 'Romance'}]",,111759,tt0015758,en,Don Q Son of Zorro,"Returning to the legend that inspired his first swashbuckling adventure, Fairbanks appeared in DON Q, SON OF ZORRO. Don Cesar De Vega (Fairbanks) crosses swords with a vicious member of the Queen's Guard (Donald Crisp, who also directed), and steals the affection of a young heiress (Mary Astor). When the officer frames the young upstart for murder, Don Cesar fakes his own death and retreats to the crumbling ruins of the family castle he plots his vengeance.",0.264033,/wClPdB9IrXRwmUm4sw5XKIgBa34.jpg,"[{'name': 'Elton Productions', 'id': 4203}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1925-06-15,0.0,111.0,[],Released,,Don Q Son of Zorro,False,7.0,3.0
13151,False,,0,"[{'id': 35, 'name': 'Comedy'}]",,45838,tt0008874,en,The Bell Boy,"At the Elk's Head Hotel bellhops torment the lobby, each other and guests. The elevator is powered by a stubborn horse. A sham robbery turns into a real one. And there is a chase on a runaway trolley.",0.214742,/eKHW3w5duQLB87NpfY4YWix13eO.jpg,"[{'name': 'Comique Film Company', 'id': 5710}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1918-03-18,0.0,33.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Bell Boy,False,6.0,3.0
13154,False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 9648, 'name': 'Mystery'}]",,72495,tt0022694,de,Das blaue Licht,"A young woman, Junta (Riefenstahl), lives apart from her village and, for her solitude and strangeness, is considered to be a witch; when she comes to the village for one reason or another, the townsfolk chase her away. They feel that she may in some way be responsible for the deaths of several young men of the village, who have felt compelled, one by one, to climb the local mountain - and fall to their deaths - on nights when the moon is full.",0.28348,/5QeQvIinOiJPRht15bdeOlAJaCD.jpg,"[{'name': 'Leni Riefenstahl-Produktion', 'id': 580}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",1932-03-24,0.0,85.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,The Blue Light,False,6.3,7.0
13202,False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,120862,tt0022628,en,The Animal Kingdom,"Tom Collier has had a great relationship with Daisy, but when he decides to marry, it is not Daisy whom he asks, it is Cecelia. After the marriage, Tom is bored with the social scene and the obligations of his life. He publishes books that will sell, not books that he wants to write. Even worse, he has his old friend working as a butler and Cecelia wants him fired. When Tom tries to get back together with Daisy to renew the feelings that he once felt, Daisy turns the tables on him and leaves to protect both of them.",0.98147,/nDOW8UvufgPkI7CkZdyD52OwwCV.jpg,"[{'name': 'RKO Radio Pictures', 'id': 6}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1932-12-28,0.0,85.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Animal Kingdom,False,4.7,3.0
13206,False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 10749, 'name': 'Romance'}]",,27991,tt0024262,en,The Little Giant,Prohibition is ending so bootlegger Bugs Ahearn decides to crack California society. He leases a house from down-on-her-luck Ruth and hires her as social secretary. He rescues Polly Cass from a horsefall and goes home to meet her dad who sells him some phony stock certificates. When he learns about this he sends to Chicago for mob help.,0.631869,/xkrcIkJnHg7faBKZ8SFo9bNnwk1.jpg,"[{'name': 'First National Pictures', 'id': 3245}, {'name': 'The Vitaphone Corporation', 'id': 9329}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1933-05-20,0.0,76.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Little Giant,False,6.3,6.0
13207,False,,0,"[{'id': 18, 'name': 'Drama'}]",,87894,tt0018179,en,Mr. Wu,"Raised by his grandfather to adhere to the ancient laws of China, Mandarin Wu is a strict authoritarian. However, he is a doting father to his beautiful daughter Nang Ping. Nang Ping is to be married to a man of her father's choosing, a man she does not even know. But she falls in love with a dashing British visitor to China, Basil Gregory. Basil informs Nang Ping that he must return to Britain with his family, but she surprises him with the revelation that she carries his child. Wu learns of his daughter's dishonor and lets the ancient laws of China lead him relentlessly toward tragedy",0.104209,/bG4JONRUJH2vdSaAt6IWr4hpwdk.jpg,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1927-03-26,0.0,90.0,[],Released,,Mr. Wu,False,5.0,2.0
13213,False,,0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,111302,tt0016655,en,The Blackbird,"Two thieves, the Blackbird and West End Bertie, fall in love with the same girl, a French nightclub performer named Fifi. Each man tries to outdo the other to win her heart.",0.982552,/bI1mZhBHuo4YG1LcTStlCTUEg1G.jpg,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1926-01-11,0.0,86.0,[],Released,,The Blackbird,False,6.3,3.0
13234,False,,0,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",,59158,tt0023935,en,The Death Kiss,The Death Kiss re-unites three of the stars of Dracula in a Hollywood movie-set murder mystery.,0.670124,/wKblRIOCaKsTskFGZBpqgKMAlcJ.jpg,"[{'name': 'K.B.S. Productions Inc.', 'id': 10754}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1932-12-05,0.0,75.0,[],Released,Movie star Murdered. Killer on the Loose,The Death Kiss,False,3.1,7.0
